Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
troppo bianchi,Dove finisce la discussione?,in tribunale,in tribunale,True
troppo bianchi,Chi fa il giudice?,un orso,un orso,True
troppo bianchi,Perché l’ermellino si è confuso?,erano entrambi troppo bianchi nella neve,erano entrambi troppo bianchi nella neve,True
troppo bianchi,Cosa decide l’orso?,che nessuno ha colpa,che nessuno ha colpa,True
troppo bianchi,Cosa fa l’orso alla fine?,li invita a cena,li butta fuori dal tribunale,False
troppo bianchi,Perché la lepre ora ha le orecchie nere?,per colpa delle zampe sporche dell’orso,per colpa delle zampe sporche dell’orso,True
troppo bianchi,Perché l’ermellino ha un ciuffo nero sulla coda?,perché così si riconoscono meglio nella neve,perché così si riconoscono meglio nella neve,True
un fantasma a pallini,Come si chiama il fantasma?,macchia,macchia,True
un fantasma a pallini,Cosa fa il fantasma ogni notte?,va a spasso per il buio,va a spasso per il buio,True
un fantasma a pallini,Dove si macchia di pomodoro?,in pizzeria,a scuola,False
un fantasma a pallini,Con cosa si macchia alla cioccolateria?,cioccolato,cioccolato,True
un fantasma a pallini,Con cosa si macchia nel prato?,di erba,di erba,True
un fantasma a pallini,Cosa deve fare ogni mattina Macchia?,"lavare, stendere e stirare il lenzuolo","lavare, stendere e stirare il lenzuolo",True
un fantasma a pallini,Perché Macchia compra un lenzuolo a pallini?,perché le macchie non si vedono,perché le macchie non si vedono,True
un fantasma a pallini,Dove compra il nuovo lenzuolo?,in un negozio per fantasmi,in un negozio per fantasmi,True
un fantasma a pallini,Come si sente Macchia con il lenzuolo a pallini?,felice e contento,infelice,False
un fantasma a pallini,Cosa fa Macchia alla fine della storia?,continua a passeggiare tranquillo,si nasconde,False
dino resta a casa,Che giorno è nella storia?,sabato,sabato,True
dino resta a casa,Cosa deve fare la mamma di Viola?,andare a lavorare,andare a lavorare,True
dino resta a casa,Dove porta la mamma Viola?,dalla nonna,dalla nonna,True
dino resta a casa,Cosa chiede Viola alla mamma prima di alzarsi?,un grattino,un biscotto,False
dino resta a casa,Cosa fa Viola prima di uscire?,fa colazione e si lava i denti,fa colazione e si lava i denti,True
dino resta a casa,Dove controlla Viola se ha preso tutto?,nello zainetto,nello zainetto,True
dino resta a casa,Chi è Joe?,il pinguino di peluche di viola,il pinguino di peluche di viola,True
dino resta a casa,Cosa scopre Viola?,di aver dimenticato il dino a letto,di aver dimenticato il dino a letto,True
dino resta a casa,Chi è Dino?,il dinosauro peluche,il cagnolino di viola,False
dino resta a casa,Cosa pensa Viola alla fine?,che dino a casa si annoierà,che dino a casa si annoierà,True
un libro divertente,Chi sono le protagoniste?,giulia e paola,giulia e paola,True
un libro divertente,Cosa fa Giulia un lunedì sera?,telefona a paola,telefona a paola,True
un libro divertente,Cosa racconta Giulia a Paola?,di un nuovo libro,di un nuovo libro,True
un libro divertente,Come si chiama il libro che sta leggendo Giulia?,la storia di magodan,la storia di magodan,True
un libro divertente,Com’è la copertina del libro?,rossa,rossa,True
un libro divertente,Dove si trova il libro in biblioteca?,sullo scaffale,sullo scaffale,True
un libro divertente,Quanti capitoli ha già letto Giulia?,tre,tre,True
un libro divertente,Cosa succede mentre legge?,le viene da ridere,le viene da ridere,True
un libro divertente,Cosa decide Paola di fare?,leggere il libro anche lei,leggere il libro anche lei,True
un libro divertente,Come termina la telefonata?,cambiando discorso,cambiando discorso,True
l'orologio,Cosa faceva la mamma mentre Filippo guardava l’orologio?,mescolava il risotto,mescolava il risotto,True
l'orologio,A chi piace guardare l’orologio?,a filippo,al papà,False
l'orologio,Cosa gli aveva spiegato la mamma?,come funziona il tempo e le lancette,come funziona il tempo e le lancette,True
l'orologio,Qual è la lancetta che corre più veloce?,quella dei secondi,quella dei secondi,True
l'orologio,Cosa ha fatto Filippo a scuola?,ha spiegato l’orologio ai compagni,ha raccontato una storia,False
l'orologio,Cosa hanno fatto i compagni quando Filippo ha spiegato l’orologio?,lo hanno applaudito,lo hanno applaudito,True
l'orologio,A che ora torna il papà?,alle 7 di sera,alle 7 di sera,True
l'orologio,Dove guardava Filippo per capire l’ora?,sull’orologio a muro,sull’orologio a muro,True
l'orologio,Come si sentiva Filippo quella sera?,felice,triste,False
l'orologio,A chi voleva raccontare tutto Filippo?,al papà,alla mamma,False
