Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
il gigante e l'ondina,Dove si svolge la storia?,sulla sponda del mare,sulla sonda del mare,False
il gigante e l'ondina,Chi ha scritto questa storia?,gianni rodari,saro de la iglesia,False
il gigante e l'ondina,Quante volte al giorno il gigante crea le onde?,due volte,due volte,True
il gigante e l'ondina,Perché le acque salgono e scendono ancora oggi?,per il movimento del gigante,per il movimento del gigante,True
un momento eroico,Chi è il protagonista della storia?,edoardo,edoardo,True
un momento eroico,Cosa fa Edoardo alla mamma?,le chiude la porta,le chiude la porta,True
un momento eroico,Perché la mamma si preoccupa?,perché ci sono pericoli in casa,perché non trova le chiavi,False
un momento eroico,Chi aiuta Edoardo a restare tranquillo?,la banda della classe,la banda della classe,True
un momento eroico,Cosa raccontano a Edoardo?,la favola,una barzelletta,False
un momento eroico,Cosa gli dicono di fare?,restare dietro la porta,restare dietro la porta,True
un momento eroico,Edoardo cosa fa?,resta seduto,resta seduto,True
un momento eroico,Come si sentono tutti alla fine?,sollevati,spaventati,False
un momento eroico,Chi arriva alla fine?,i vigili del fuoco e i poliziotti,i vigili del fuoco e i poliziotti,True
un momento eroico,Cos’è stato davvero eroico?,l’arrivo dei pompieri,l’arrivo dei pompieri,True
la gallina e lo sciacallo,Chi incontra la gallina?,uno sciacallo,uno sciacallo,True
la gallina e lo sciacallo,Cosa fa la gallina quando vede lo sciacallo?,sale su un albero,corre via,False
la gallina e lo sciacallo,Cosa dice lo sciacallo?,che gli animali hanno fatto pace,che gli animali hanno fatto pace,True
la gallina e lo sciacallo,La gallina crede allo sciacallo?,"no, è prudente",corre giù,False
la gallina e lo sciacallo,Cosa vede la gallina da sopra l’albero?,un branco di cani,un branco di cani,True
la gallina e lo sciacallo,Cosa fa lo sciacallo appena sente dei cani?,si nasconde,corre via,False
la gallina e lo sciacallo,Cosa gli grida la gallina?,perché scappi?,perché scappi?,True
la gallina e lo sciacallo,Cosa risponde lo sciacallo?,che i cani non sanno ancora la notizia,che i cani non sanno ancora la notizia,True
la gallina e lo sciacallo,Qual è la morale della favola?,essere coraggiosi,essere forti,False
la gallina e lo sciacallo,Da dove viene questa favola?,tagikistan,tagikistan,True
incontro con il mammut,Come si chiama la bambina protagonista?,petra,petra,True
incontro con il mammut,In quale epoca vive la bambina?,nell’età della pietra,nell’età della pietra,True
incontro con il mammut,Dove va Petra a prendere l’acqua?,alla sorgente,alla sorgente,True
incontro con il mammut,Cosa sente Petra nel bosco?,dei passi tra i cespugli,dei passi tra i cespugli,True
incontro con il mammut,Dove si nasconde Petra?,su un albero,su un albero,True
incontro con il mammut,Chi sbuca tra le foglie?,un piccolo mammut,un piccolo mammut,True
incontro con il mammut,Come chiama Petra il mammut?,barrù,barrù,True
incontro con il mammut,Cosa fa Petra per fargli amicizia?,gli offre una mela,gli offre una mela,True
incontro con il mammut,Come reagisce il mammut?,scappa via,abbraccia petra,False
incontro con il mammut,Come si sentono alla fine?,felici e amici,felici e amici,True
due grandi amici,Chi sono i protagonisti della storia?,max e mix,max e mix,True
due grandi amici,Cosa fa Mix appena piccolino?,si arrampica su un albero,si arrampica su un albero,True
due grandi amici,Chi cerca di salvare Mix?,max,max,True
due grandi amici,Cosa succede a Max sull'albero?,ha le vertigini,ha le vertigini,True
due grandi amici,Chi chiama i pompieri?,un vicino di casa,un vicino di casa,True
due grandi amici,Cosa porta il camion dei pompieri?,una scala telescopica,una scala telescopica,True
due grandi amici,Cosa dice Max a Mix?,di non arrampicarsi più sugli alberi alti,di non arrampicarsi più sugli alberi alti,True
due grandi amici,Come tornano a casa?,sporchi di polline di ippocastano,sporchi di polline di ippocastano,True
due grandi amici,Cosa imparano i due amici?,che l’amicizia significa aiutarsi,a non uscire più,False
due grandi amici,Perché Max lo dice?,perché è un bravo amico,perché è un bravo amico,True
