Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
incontro con il mammut,Cosa sente Petra nel bosco?,dei passi tra i cespugli,dei passi tra i cespugli,True
incontro con il mammut,Dove si nasconde Petra?,su un albero,su un albero,True
incontro con il mammut,Chi sbuca tra le foglie?,un piccolo mammut,un piccolo mammut,True
incontro con il mammut,Come chiama Petra il mammut?,barrù,barrù,True
incontro con il mammut,Cosa fa Petra per fargli amicizia?,gli offre una mela,gli offre una mela,True
incontro con il mammut,Come reagisce il mammut?,scappa via,abbraccia petra,False
incontro con il mammut,Come si sentono alla fine?,felici e amici,felici e amici,True
due grandi amici,Chi sono i protagonisti della storia?,max e mix,max e mix,True
due grandi amici,Cosa fa Mix appena piccolino?,si arrampica su un albero,si arrampica su un albero,True
due grandi amici,Chi cerca di salvare Mix?,max,max,True
due grandi amici,Cosa succede a Max sull'albero?,ha le vertigini,ha le vertigini,True
due grandi amici,Chi chiama i pompieri?,un vicino di casa,un vicino di casa,True
due grandi amici,Cosa porta il camion dei pompieri?,una scala telescopica,una scala telescopica,True
due grandi amici,Cosa dice Max a Mix?,di non arrampicarsi più sugli alberi alti,di non arrampicarsi più sugli alberi alti,True
due grandi amici,Come tornano a casa?,sporchi di polline di ippocastano,sporchi di polline di ippocastano,True
due grandi amici,Cosa imparano i due amici?,che l’amicizia significa aiutarsi,a non uscire più,False
due grandi amici,Perché Max lo dice?,perché è un bravo amico,perché è un bravo amico,True
