Story_Title,Question,User_Answer,Correct_Answer,Is_Correct,Date
daccapo,Perché l’autrice lascia il regno di Daccapo?,per poter concludere i racconti,per poter concludere i racconti,True,2025-09-11 15:57:42
daccapo,Qual è il problema nel regno di Daccapo?,non si può finire nulla,non si può finire nulla,True,2025-09-11 15:57:58
daccapo,Qual è la morale della storia?,la fine è importante quanto l’inizio,la fine è importante quanto l’inizio,True,2025-09-11 15:58:07
daccapo,Cos'è Daccapo?,un regno,un regno,True,2025-09-11 15:58:39
il pavone più bello,Cosa chiede il lupo ai saggi della foresta?,il pavone più bello,il pavone più bello,True,2025-09-17 15:59:27
il pavone più bello,Cosa devono fare i pavoni?,radunarsi,radunarsi,True,2025-09-17 15:59:46
il pavone più bello,Come si sentono i pavoni prima della gara?,emozionati,emozionati,True,2025-09-17 16:00:06
il pavone più bello,Chi compone la giuria?,"gufo, civetta, scoiattolo, ghiro e cincia","gufo, civetta, scoiattolo, ghiro e cincia",True,2025-09-17 16:01:16
il pavone più bello,Come reagisce il pavone scelto?,si commuove,si commuove,True,2025-09-17 16:07:15
il pavone più bello,Cosa dice il lupo vedendo il pavone?,che è brutto,che è brutto,True,2025-09-17 16:08:53
il pavone più bello,Come finisce la storia?,tutti applaudono il pavone,il lupo se ne va,False,2025-09-17 16:12:30
il pavone più bello,Chi viene scelto come pavone più bello?,quello della prima fila,quello della prima fila,True,2025-09-17 16:15:41
il pavone più bello,Cosa succede alle penne del pavone dalla paura?,diventano grigie e cadono,diventano grigie e cadono,True,2025-09-17 16:17:06
il pavone più bello,Come finisce la storia?,il lupo se ne va,il lupo se ne va,True,2025-09-17 16:17:15
il pavone più bello,Cosa succede quando il lupo arriva?,tutti scappano,tutti scappano,True,2025-09-17 16:17:36
il cane poeta,Chi scrive una poesia nella storia?,un cane,un cane,True,2025-09-24 16:01:40
il cane poeta,Di cosa parla la poesia?,della luna,della luna,True,2025-09-24 16:01:48
il cane poeta,A chi prova a recitare la poesia il cane per primo?,a un poeta,a un poeta,True,2025-09-24 16:02:02
il cane poeta,Cosa risponde il poeta?,che conosce già la luna,che conosce già la luna,True,2025-09-24 16:02:14
il cane poeta,Chi incontra dopo il cane?,un altro cane,un altro cane,True,2025-09-24 16:02:28
il cane poeta,Cosa risponde il secondo cane?,che non gli serve la poesia,che non gli serve la poesia,True,2025-09-24 16:02:38
il cane poeta,Cosa fa il cane poeta dopo essere stato rifiutato?,cammina con la testa bassa,cammina con la testa bassa,True,2025-09-24 16:02:54
il cane poeta,Dove si ferma a recitare la sua poesia?,ai piedi di un alberello,ai piedi di un alberello,True,2025-09-24 16:03:09
il cane poeta,Chi ascolta la poesia e la apprezza?,una talpa,una talpa,True,2025-09-24 16:03:57
il cane poeta,Come finisce la storia?,la talpa sparisce nella sua buca,la talpa sparisce nella sua buca,True,2025-09-24 16:04:09
la città di ghiaccio,Dove si svolge la storia?,nel profondo nord,nel profondo nord,True,2025-09-25 15:58:41
la città di ghiaccio,Chi sono i protagonisti?,gerda e kay,gerda e kay,True,2025-09-25 15:58:58
la città di ghiaccio,Cosa copre la città?,il ghiaccio,il ghiaccio,True,2025-09-25 16:00:01
la città di ghiaccio,Cosa fa Kay con le formine?,le riempie d’acqua,le riempie d’acqua,True,2025-09-25 16:02:05
la città di ghiaccio,Cosa trovano il giorno dopo?,blocchetti di ghiaccio,blocchetti di ghiaccio,True,2025-09-25 16:02:27
la città di ghiaccio,Dove invita Gerda?,in cortile,in cortile,True,2025-09-25 16:02:38
la città di ghiaccio,Come reagisce Gerda?,è entusiasta,è entusiasta,True,2025-09-25 16:04:39
la città di ghiaccio,Cosa decidono di costruire?,una città di ghiaccio,una città di ghiaccio,True,2025-09-25 16:04:51
la città di ghiaccio,Cosa usano per costruire?,blocchi di ghiaccio,blocchi di ghiaccio,True,2025-09-25 16:05:00
la città di ghiaccio,Qual è il messaggio della storia?,l’inverno può essere divertente con la fantasia,l’inverno può essere divertente con la fantasia,True,2025-09-25 16:05:10
un ragno da adottare,Dove urla la mamma?,in bagno,in bagno,True,2025-10-01 16:17:51
un ragno da adottare,Cosa c’era nella vasca da bagno?,un ragno,un ragno,True,2025-10-01 16:17:58
un ragno da adottare,Chi cerca di schiacciare il ragno?,papà,papà,True,2025-10-01 16:18:03
un ragno da adottare,Chi chiede di non uccidere il ragno?,simona,simona,True,2025-10-01 16:18:13
un ragno da adottare,Dove si trasferisce la famiglia per lavarsi?,dai vicini,dai vicini,True,2025-10-01 16:18:48
un ragno da adottare,Come reagisce la psicologa quando sente che hanno un ragno?,fa una strana faccia,fa una strana faccia,True,2025-10-01 16:18:56
un ragno da adottare,Chi uccide accidentalmente il ragno?,anna maria,anna maria,True,2025-10-01 16:19:05
un ragno da adottare,Come reagisce Simona alla morte del ragno?,urla disperata,urla disperata,True,2025-10-01 16:20:00
un ragno da adottare,Cosa fa la mamma dopo la morte del ragno?,è contenta in segreto,è contenta in segreto,True,2025-10-01 16:20:49
un ragno da adottare,Cosa fa Giulietto alla fine?,fa un bagno,fa un bagno,True,2025-10-01 16:21:07
il ritardatario,Come si chiama il protagonista?,herman,herman,True,2025-10-08 15:52:33
il ritardatario,Dove arriva in ritardo Herman?,a scuola,a scuola,True,2025-10-08 15:52:41
il ritardatario,Cosa pensa Herman mentre entra?,che forse è vacanza,che forse è vacanza,True,2025-10-08 15:52:47
il ritardatario,Chi è Barile?,l’insegnante,l’insegnante,True,2025-10-08 15:52:57
il ritardatario,Che scusa inventa Herman?,ha salvato una signora,ha salvato una signora,True,2025-10-08 15:54:20
il ritardatario,Come reagiscono i compagni alla scusa?,si mettono a ridere,si mettono a ridere,True,2025-10-08 15:54:39
il ritardatario,Cosa fa Barile quando sente la scusa?,gli chiede altri dettagli,gli chiede altri dettagli,True,2025-10-08 15:54:54
il ritardatario,Cosa chiede Herman alla fine?,di andare in bagno,di andare in bagno,True,2025-10-08 15:55:21
il ritardatario,Come si sentono i compagni?,divertiti,divertiti,True,2025-10-08 15:57:13
il ritardatario,Dove si siede Herman?,vicino alla finestra,vicino alla finestra,True,2025-10-08 15:57:30
