Story_Title,Question,User_Answer,Correct_Answer,Is_Correct
vita in famiglia,Quanto dovevano durare le scarpe secondo il padre?,dieci anni per gli adulti e meno anni per i ragazzi,dieci anni per gli adulti e quattro anni per i ragazzi,False
vita in famiglia,Cosa faceva il padre appena tornava a casa?,si toglieva le scarpe per farle durare,si toglieva le scarpe per farle durare,True
vita in famiglia,Come descrive l’autore i pranzi in famiglia?,come una festa,come una festa,True
la testimone oculare,A che ora si verifica l'incidente?,quasi le 20,quasi le 20,True
la testimone oculare,Chi è coinvolto nell’incidente con la macchina?,un ciclista,un ciclista,True
la testimone oculare,Chi viene chiamato a risolvere la questione?,la polizia,la polizia,True
la testimone oculare,Chi sostiene di aver visto l'incidente?,una donna alla finestra,una donna alla finestra,True
la testimone oculare,Come si chiama il maresciallo?,hornig,hornig,True
la testimone oculare,Come reagisce la donna quando viene interrogata?,nega di conoscere i coinvolti,nega di conoscere i coinvolti,True
la testimone oculare,Chi accusa la donna di mentire?,marquard,l’automobilista,False
la testimone oculare,Cosa fa la donna quando viene accusata?,tira qualcosa,minaccia di dimostrare chi mente,False
la testimone oculare,Come si comporta il maresciallo alla fine?,accusa la donna di essere bugiarda,accusa la donna di essere bugiarda,True
la testimone oculare,Come finisce la situazione?,con il maresciallo che smaschera la bugia,con il maresciallo che smaschera la bugia,True
il gatto osiride,Chi propone di avere un gatto?,la nonna,la nonna,True
il gatto osiride,Come si chiama il gatto?,osiride,osiride,True
il gatto osiride,Dove trova il gatto Elenuccia?,dalla nonna,dalla nonna,True
il gatto osiride,Come reagisce la mamma alla vista del gatto?,si arrabbia,si arrabbia,True
il gatto osiride,Cosa fa Osiride quando capisce che si parla male di lui?,fa una cacchina,fa una cacchina,True
il gatto osiride,Qual è la reazione del papà?,è allergico ai gatti,è allergico ai gatti,True
il gatto osiride,Cosa fa Osiride per dispetto al papà?,mastica le foglie del bonsai,mastica le foglie del bonsai,True
il gatto osiride,Cosa decide di fare Elenuccia?,riportarlo dalla nonna,riportarlo dalla nonna,True
il gatto osiride,Dove vive Osiride alla fine?,dalla nonna,dalla nonna,True
il gatto osiride,Come si comporta Osiride dalla nonna?,non fa nulla di male,non fa nulla di male,True
la scomparsa del lunedì,Perché il lunedì si chiude in casa?,è offeso,è offeso,True
la scomparsa del lunedì,Chi prende in giro il lunedì?,la domenica,la domenica,True
la scomparsa del lunedì,Qual è la reazione delle persone alla scomparsa del lunedì?,si lamentano,si lamentano,True
la scomparsa del lunedì,Chi forma una fila davanti alla casa del lunedì?,la gente,la gente,True
la scomparsa del lunedì,Chi fa cambiare idea al lunedì?,un bambino,un bambino,True
la scomparsa del lunedì,Perché il bambino piange?,non può vedere la nonna,non può vedere la nonna,True
la scomparsa del lunedì,Come si sente il lunedì alla fine?,vergognoso,vergognoso,True
la scomparsa del lunedì,Cosa fa il lunedì alla fine?,aspetta la nonna con il bambino,aspetta la nonna con il bambino,True
la scomparsa del lunedì,Come finisce la storia?,il lunedì ritorna,il lunedì ritorna,True
la scomparsa del lunedì,Chi aspetta il bambino alla fine?,la nonna,la nonna,True
tre volte bau,Chi vola sopra la pianura?,un aquilotto,un aquilotto,True
tre volte bau,Cosa deve portare l’aquilotto per essere accolto dalle aquile adulte?,una pecora,una pecora,True
tre volte bau,Dove trova il gregge l’aquilotto?,lungo un fiume,lungo un fiume,True
tre volte bau,Cosa afferra l’aquilotto in picchiata?,una pecora,una pecora,True
tre volte bau,Cosa dice l’aquilotto all’aquila reale?,di aver compiuto la missione,di aver compiuto la missione,True
tre volte bau,Che verso fa l’animale rapito?,"bau, bau, bau","bau, bau, bau",True
tre volte bau,Come reagiscono le aquile adulte?,si arrabbiano,si arrabbiano,True
tre volte bau,Cosa deve fare l’aquilotto?,riportare l’animale,riportare l’animale,True
tre volte bau,Come si sente l’aquilotto?,imbarazzato,imbarazzato,True
tre volte bau,Come si salva la pecorella?,grazie al verso del cane imparato,grazie al verso del cane imparato,True
